project_name,project_slug,investor_count,total_invested_usd,market_cap_usd,roi,category,investors
FastLane Labs,fastlane-labs,1,2300000,,,Blockchain Service,Multicoin Capital
Tableland,tableland,1,8000000,,,Blockchain Service,Multicoin Capital
Sec3,sec3-ico,1,10000000,,,,Multicoin Capital
Fluidity,fluidity-ico,1,1300000,,,,Multicoin Capital
Hubble,hubble,1,5000000,,,Protocol,Multicoin Capital
Delphia,delphia-ico,1,60000000,,,,Multicoin Capital
Geode Finance,geode-finance-ico,1,3000000,,,,Multicoin Capital
FanTiger,fantiger-ico,1,5500000,,,,Multicoin Capital
Timeswap,timeswap,1,0,,,DeFi,Multicoin Capital
EDEN,eden,1,17400000,,,Infrastructure,Multicoin Capital
UXD Protocol Token,uxd-protocol-token,1,3000000,,,Algorithmic Stablecoins,Multicoin Capital
Strips Finance,strips-finance,1,8500000,,,Derivatives,Multicoin Capital
Grape Protocol,grape-2,1,1200000,,,Application,Multicoin Capital
Qilin,qilin-ico,1,800000,,,,Multicoin Capital
Tibles,tibles-ico,1,1140000,,,,Multicoin Capital
Realy Metaverse,realy-metaverse,1,0,,,Metaverse,Multicoin Capital
Oxygen,oxygen,1,40000000,,,Solana Ecosystem,Multicoin Capital
Salad Ventures,salad-ventures,1,2000000,,,Gaming,Multicoin Capital
Textile,textile-2,1,1500000,,,Blockchain Service,Multicoin Capital
Lightyear,lightyear,1,23000000,,,Finance,Lightspeed Venture Partners
Goodfire,goodfire,1,50000000,,,Artificial Intelligence (AI),Lightspeed Venture Partners
RedotPay,redotpay,1,40000000,,,Blockchain Service,Lightspeed Venture Partners
CharacterX,characterx,1,2800000,,,Social,Lightspeed Venture Partners
Medallion,medallion,1,13700000,,,Blockchain Service,Lightspeed Venture Partners
Blockchain.com,blockchain-com,1,110000000,,,CEX,Lightspeed Venture Partners
Econia,econia-ico,1,6500000,,,,Lightspeed Venture Partners
Sentio,sentio-ico,1,6400000,,,,Lightspeed Venture Partners
Ultimate,ultimate-ico,1,12500000,,,,Lightspeed Venture Partners
Ballet,ballet-ico,1,13000000,,,,Lightspeed Venture Partners
Soba,soba-ico,1,13500000,,,,Lightspeed Venture Partners
Health Hero,health-hero-ico,1,4500000,,,,Lightspeed Venture Partners
IndiGG,indigg,1,6000000,,,Gaming,Lightspeed Venture Partners
Babel Finance,babel-finance-ico,1,40000000,,,,Lightspeed Venture Partners
Cascade,cascade,1,15000000,,,CEX,Polychain Capital
Tharimmune,tharimmune,1,540000000,,,Healthcare,Polychain Capital
Greenlane Holdings,greenlane-holdings,1,110000000,,,Finance,Polychain Capital
Billions Network,billions-network,1,30000000,,,Blockchain Service,Polychain Capital
DogeOS,dogeos,1,6900000,,,Infrastructure,Polychain Capital
Warlock,warlock,1,8000000,,,DeFi,Polychain Capital
Oshi,oshi-2,1,12500000,,,Social,Polychain Capital
Superform,superform,1,3000000,,,DeFi,Polychain Capital
Talus network,talus-network,1,6000000,,,Blockchain Service,Polychain Capital
Yellow Card,yellow-card,1,33000000,,,Finance,Polychain Capital
Pac Finance,pac-finance,1,1000000,,,DeFi,Polychain Capital
Pi Squared,pi-squared,1,12500000,,,Infrastructure,Polychain Capital
ORA,ora,1,20000000,,,Infrastructure,Polychain Capital
Nubit,nubit,1,8000000,,,Infrastructure,Polychain Capital
Cysic,cysic-ico,1,12000000,,,,Polychain Capital
Botanix Labs,botanix-labs,1,11500000,,,Blockchain,Polychain Capital
Stream Finance,stream-finance,1,1500000,,,DeFi,Polychain Capital
Playtron,playtron,1,10000000,,,Gaming,Polychain Capital
Gasp (Mangata),gasp-2,1,5000000,,,DeFi,Polychain Capital
Sofamon,sofamon,1,0,,,Social,Polychain Capital
Squid,squidrouter,1,4000000,,,Blockchain Service,Polychain Capital
Canza Finance ,canza-finance,1,2300000,,,Blockchain Service,Polychain Capital
Particle,particle,1,0,,,DeFi,Polychain Capital
Wynd Network,wynd-2,1,3500000,,,Infrastructure,Polychain Capital
Sona,sona,1,6900000,,,Blockchain Service,Polychain Capital
Rio Network,rio-network,1,0,,,DeFi,Polychain Capital
Bioniq,bioniq,1,0,,,Blockchain Service,Polychain Capital
CreateSafe,createsafe,1,4600000,,,Music,Polychain Capital
Goldlink,goldlink,1,1400000,,,DeFi,Polychain Capital
Webb Protocol,webb-protocol,1,7000000,,,Infrastructure,Polychain Capital
Thetanuts Finance,thetanuts-finance-ico,1,17000000,,,,Polychain Capital
Cubist,cubist-ico,1,7000000,,,,Polychain Capital
Really,really-ico,1,18000000,,,,Polychain Capital
Nil Foundation,nil-foundation-ico,1,22000000,,,,Polychain Capital
Perennial,perennial,1,12000000,,,DeFi,Polychain Capital
Evmos,evmos,1,27000000,,,Cosmos Ecosystem,Polychain Capital
t3rn,t3rn,1,6500000,,,Infrastructure,Polychain Capital
Kollider,kollider-ico,1,2400000,,,,Polychain Capital
Tapio Protocol,tapio-protocol-ico,1,4000000,,,,Polychain Capital
Hologram,hologram-ico,1,6500000,,,,Polychain Capital
DSCVR,dscvr-ico,1,9000000,,,,Polychain Capital
ORIGYN,origyn-foundation,1,20000000,,,NFT,Polychain Capital
Credora,credora,1,8000000,,,Lending Platform,Polychain Capital
Thesis,thesis-ico,1,21000000,,,,Polychain Capital
Moola Market,moola-market,1,1400000,,,Lending Platform,Polychain Capital
DFX Finance,dfx-finance,1,5000000,,,Governance,Polychain Capital
Parsec,parsec,1,1250000,,,Big Data,Polychain Capital
Alpha5,alpha5,1,1500000,,,,Polychain Capital
ROOK,rook,1,1440000,,,DeFi,Polychain Capital
Staker DAO,staker-dao,1,3000000,,,DAO,Polychain Capital
Fractal Network (Findora),findora,1,11970000,,,Blockchain,Polychain Capital
Horizon Blockchain Game,horizon-blockchain-game-ico,1,5000000,,,,Polychain Capital
Raiden Network Token,raiden-network,1,33400000,,,Infrastructure,Polychain Capital
Hyperbeat,hyperbeat,1,5200000,,,DeFi,Electric Capital
Hibachi,hibachi,1,5000000,,,DeFi,Electric Capital
Bitwise,bitwise,1,70000000,,,Finance,Electric Capital
InfiniFi,infinifi,1,3000000,,,DeFi,Electric Capital
Term Finance,term-finance,1,5500000,,,Lending Platform,Electric Capital
Wasabi,wasabi,1,3000000,,,DeFi,Electric Capital
Nuffle Labs,nuffle-labs,1,13000000,,,Infrastructure,Electric Capital
Ava Protocol,ava-protocol,1,10000000,,,Infrastructure,Electric Capital
Re,re,1,7000000,,,Insurance,Electric Capital
Cove Finance,cove-finance,1,3000000,,,Yield Aggregator,Electric Capital
INIT Capital,init-capital,1,3000000,,,DeFi,Electric Capital
Clusters,clusters,1,9000000,,,Blockchain Service,Electric Capital
Abstract,abstract,1,0,,,Layer-2,Electric Capital
Frame,frame,1,0,,,Blockchain,Electric Capital
Llama,llama,1,6000000,,,Blockchain Service,Electric Capital
Hourglass,hourglass-2,1,4200000,,,DeFi,Electric Capital
Yoz,yoz-ico,1,3500000,,,Web 3.0,Electric Capital
Paper,paper,1,9300000,,,,Electric Capital
Nestcoin,nestcoin,1,6450000,,,Blockchain Service,Electric Capital
ConsenSys,consensys,1,200000000,,,Web 3.0,Electric Capital
Taker Protocol,taker-protocol,1,3000000,,,Blockchain,Electric Capital
Bitnomial,bitnomial,1,11600000,,,Finance,Electric Capital
Obex,obex-2,1,37000000,,,Finance,Framework Ventures
Mecka.AI,mecka-ai,1,8000000,,,Infrastructure,Framework Ventures
Perle (Prev. Kiva Ai),kiva-ai,1,9000000,,,Artificial Intelligence (AI),Framework Ventures
W3.io,w3-io,1,7000000,,,Infrastructure,Framework Ventures
T-Rex,t-rex,1,17000000,,,Modular Blockchain,Framework Ventures
Uranium Digital,uranium-digital,1,6100000,,,DeFi,Framework Ventures
Henlo,henlo-2,1,3000000,,,Meme,Framework Ventures
GOAT Gaming,goat-gaming,1,4000000,,,Gaming,Framework Ventures
Hyve DA,hyve-da,1,2750000,,,Blockchain Service,Framework Ventures
Starpower,starpower,1,2500000,,,Blockchain Service,Framework Ventures
Eidon AI,eidon-ai,1,3500000,,,Infrastructure,Framework Ventures
Infinex,infinex-app-crypto,1,65290000,,,DEX,Framework Ventures
Ammalgam,ammalgam,1,2500000,,,DeFi,Framework Ventures
Parfin,parfin-ico,1,10000000,,,Layer-2,Framework Ventures
OpenSocial,opensocial,1,6000000,,,Social,Framework Ventures
Hylé,hyle,1,2600000,,,Blockchain,Framework Ventures
Uplink,uplink,1,10000000,,,Infrastructure,Framework Ventures
Arrow Markets,arrow-markets,1,4000000,,,DeFi,Framework Ventures
Midas,midas-2,1,8750000,,,DeFi,Framework Ventures
Reya Network (Voltz),reya-network,1,10000000,,,DeFi,Framework Ventures
Kravata,kravata,1,3600000,,,Infrastructure,Framework Ventures
Hyve Labs,hyve-labs,1,2750000,,,Gaming,Framework Ventures
Immutable,immutable-x,1,0,553330000.0,,Layer-2,Framework Ventures
Blockworks,blockworks,1,12000000,,,Media,Framework Ventures
Jungle,jungle-ico,1,6000000,,,,Framework Ventures
Asset Reality,asset-reality-ico,1,4910000,,,,Framework Ventures
Mighty Action Heroes,mighty-action-heroes-ico,1,10000000,,,,Framework Ventures
Endaoment,endaoment-ico,1,6670000,,,,Framework Ventures
Teller Finance,teller-finance-ico,1,6850000,,,,Framework Ventures
Aethir,aethir,1,0,194390000.0,,DePIN,Framework Ventures
Block Earner,block-earner-ico,1,6400000,,,,Framework Ventures
SZNS,szns-ico,1,4000000,,,,Framework Ventures
Tracer DAO,tracer-dao,1,4500000,,,Investment,Framework Ventures
Gro DAO Token,gro-dao-token,1,7100000,,,Yield Aggregator,Framework Ventures
Horizon Finance,horizon-finance,1,1335000,,,Yield Aggregator,Framework Ventures
The Clearing Company,the-clearing-company,1,15000000,,,DeFi,Union Square Ventures Usv
tapestry,tapestry,1,5750000,,,Social,Union Square Ventures Usv
Sling Money,sling-money,1,15000000,,,Finance,Union Square Ventures Usv
Flurry Finance,flurry,1,750000,,,,Union Square Ventures Usv
Rift,rift,1,8000000,,,DEX,Paradigm
Harmonic,harmonic,1,6000000,,,Infrastructure,Paradigm
Liquid,liquid,1,7600000,,,DEX,Paradigm
Divine,divine,1,6600000,,,DeFi,Paradigm
Plural,plural,1,7130000,,,Blockchain Service,Paradigm
Tempo,tempo,1,0,,,Blockchain,Paradigm
GTE,gte,1,15000000,,,DEX,Paradigm
Wildcard,wildcard-ico,1,6500000,,,,Paradigm
3Jane,3jane,1,5200000,,,DeFi,Paradigm
Reddio,reddio,1,0,,,Layer-2,Paradigm
Nous Research,nous-research,1,50000000,,,Artificial Intelligence (AI),Paradigm
Consensus Value Creation,consensus-value-creation,1,20000000,,,Blockchain Service,Paradigm
Mesh,mesh,1,82000000,,,Finance,Paradigm
D3,d3-2,1,25000000,,,Blockchain Service,Paradigm
Ithaca,ithaca,1,20000000,,,Blockchain,Paradigm
Sorella,sorella,1,7500000,,,DeFi,Paradigm
Conduit,conduit-ico,1,37000000,,,,Paradigm
Axiom,axiom,1,20000000,,,Blockchain Service,Paradigm
Friend.tech,friend-tech,1,0,3440000.0,,Social,Paradigm
Flashbots,flashbots,1,60000000,,,Blockchain Service,Paradigm
Code4rena,code4rena-ico,1,6000000,,,,Paradigm
Blowfish,blowfish-2,1,11800000,,,Blockchain Service,Paradigm
SignalPlus,signalplus,1,0,,,Finance,Paradigm
Limit Break,limit-break-ico,1,200000000,,,,Paradigm
Utopia Labs,utopia-labs-ico,1,23000000,,,,Paradigm
MoonPay,moonpay,1,555000000,,,Finance,Paradigm
Parallel,parallel,1,50000000,,,Gaming,Paradigm
JET,jet,1,6800000,,,Lending Platform,Paradigm
Bitwave,bitwave-ico,1,7250000,,,,Paradigm
Showtime,showtime-ico,1,7600000,,,,Paradigm
Chainalysis,chainalysis,1,100000000,,,Blockchain Service,Paradigm
Fireblocks,fireblocks-ico,1,133000000,,,,Paradigm
Royale,royale,1,350000,,,,Paradigm
noice,noice,1,0,10030000.0,,Meme,Balaji Srinivasan
Inversion Capital,inversion-capital,1,26500000,,,Infrastructure,Balaji Srinivasan
Trepa,trepa,1,420000,,,DeFi,Balaji Srinivasan
ZAR,zar,1,7000000,,,Finance,Balaji Srinivasan
Octane,octane,1,6750000,,,Blockchain Service,Balaji Srinivasan
Prime Intellect,prime-intellect,1,15000000,,,Blockchain Service,Balaji Srinivasan
fomo,fomo-2,1,2000000,,,DeFi,Balaji Srinivasan
Citrea,citrea,1,14000000,,,Infrastructure,Balaji Srinivasan
Genius,genius-2,1,6000000,,,DeFi,Balaji Srinivasan
Prodia,prodia,1,15000000,,,Blockchain Service,Balaji Srinivasan
Agora,agora-3,1,5000000,,,Blockchain Service,Balaji Srinivasan
Ord.io,ord-io,1,2000000,,,NFT,Balaji Srinivasan
Sending Network,sending-network,1,7500000,,,Blockchain Service,Balaji Srinivasan
Stack,stack-2,1,3000000,,,Blockchain Service,Balaji Srinivasan
Dinari,dinari,1,10000000,,,Finance,Balaji Srinivasan
Baseflow,baseflow,1,2500000,,,Blockchain Service,Balaji Srinivasan
Fileverse,fileverse,1,1500000,,,Blockchain Service,Balaji Srinivasan
Parallax,parallax-2,1,4500000,,,Finance,Balaji Srinivasan
0xPass,0xpass,1,1800000,,,Blockchain Service,Balaji Srinivasan
Drip,drip,1,3000000,,,NFT,Balaji Srinivasan
Lore Explorer,lore-explorer,1,2300000,,,Blockchain Service,Balaji Srinivasan
MIDAO,midao,1,1000000,,,Social,Balaji Srinivasan
Roi,roi,1,3600000,,,NFT,Balaji Srinivasan
Argus,argus-2,1,10000000,,,Gaming,Balaji Srinivasan
LabDAO,labdao,1,3600000,,,Social,Balaji Srinivasan
PYOR,pyor,1,4000000,,,Big Data,Balaji Srinivasan
Huddle01,huddle01-ico,1,4500000,,,,Balaji Srinivasan
Intmax,intmax-ico,1,5000000,,,Blockchain,Balaji Srinivasan
Renegade,renegade-ico,1,3400000,,,,Balaji Srinivasan
Sesame Labs,sesame-labs-ico,1,4500000,,,,Balaji Srinivasan
Lysto,lysto-ico,1,12000000,,,,Balaji Srinivasan
Crypto Colo Center,crypto-colo-center-ico,1,11000000,,,,Balaji Srinivasan
Quadrata,quadrata-ico,1,7500000,,,,Balaji Srinivasan
Samudai,samudai-ico,1,2500000,,,,Balaji Srinivasan
TRUF.Network,truflation,1,0,3490000.0,,RWA (Real World Assets),Balaji Srinivasan
Questbook,questbook-ico,1,8300000,,,,Balaji Srinivasan
LiquiFi,liquifi,1,5000000,,,Blockchain Service,Balaji Srinivasan
RSS3,rss3,1,0,12330000.0,,Infrastructure,Balaji Srinivasan
Galoy,galoy-ico,1,3000000,,,,Balaji Srinivasan
Arcana Network,arcana-network,1,375000,,,Web 3.0,Balaji Srinivasan
Messari,messari-ico,1,4000000,,,Elrond Ecosystem,Balaji Srinivasan
Blocto Token,blocto-token,1,0,1350000.0,,DeFi,Mark Cuban
Tokenproof,tokenproof-ico,1,5000000,,,,Mark Cuban
Thirdweb,thirdweb-ico,1,5000000,,,x402 Ecosystem,Mark Cuban
NFT Genius,nft-genius-ico,1,4000000,,,,Mark Cuban
Gigaverse,gigaverse,1,2000000,,,Gaming,1Confirmation
Keplr,keplr,1,5000000,,,Wallet,1Confirmation
Rated,rated,1,12890000,,,Blockchain Service,1Confirmation
Primitive,primitive-ico,1,9000000,,,,1Confirmation
Arx Research,arx-research,1,0,,,Infrastructure,1Kx
Transak,transak,1,16000000,,,Blockchain Service,1Kx
Stackup,stackup,1,4200000,,,Infrastructure,1Kx
Orange Cap Games,orange-cap-games,1,3500000,,,Gaming,1Kx
VOYA Games,voya-games,1,5000000,,,Gaming,1Kx
Kaia,kaia,1,0,440300000.0,,Blockchain,1Kx
Inco Network,inco-network,1,5000000,,,Blockchain,1Kx
Optimum,optimum,1,11000000,,,Infrastructure,1Kx
Combinder,combinder,1,500000,,,Infrastructure,1Kx
Ligero,ligero,1,4000000,,,Infrastructure,1Kx
Cryptio,cryptio,1,15000000,,,Blockchain Service,1Kx
pod,pod,1,10000000,,,Blockchain,1Kx
Predicate,predicate,1,7000000,,,Blockchain Service,1Kx
Layer,layer,1,6000000,,,Infrastructure,1Kx
Mawari,mawari,1,10800000,,,Blockchain Service,1Kx
Fabric Cryptography,fabric-cryptography,1,33000000,,,Infrastructure,1Kx
Rhinestone,rhinestone,1,5000000,,,Blockchain Service,1Kx
Blockscout,blockscout,1,3000000,,,Blockchain Service,1Kx
JokeRace,jk-labs,1,3000000,,,Social,1Kx
Cambria,cambria,1,2500000,,,Gaming,1Kx
Astria,astria,1,12500000,,,Infrastructure,1Kx
Dope World Paper,dope-wars-paper,1,0,,,DAO,1Kx
BuildBear,buildbear,1,1900000,,,Infrastructure,1Kx
FuzzLand,fuzzland,1,3000000,,,Blockchain Service,1Kx
Kiln,kiln,1,17000000,,,Finance,1Kx
web3mine,web3mine,1,6000000,,,Infrastructure,1Kx
NFTPerp,nftperp-ico,1,3000000,,,,1Kx
Seam Social,seam-social,1,2500000,,,Blockchain Service,1Kx
Citadel,citadel-2,1,3300000,,,Gaming,1Kx
Modulus Labs,modulus-labs,1,6300000,,,Blockchain Service,1Kx
Superstate,superstate,1,4000000,,,DeFi,1Kx
Spinamp,spinamp,1,1200000,,,Music,1Kx
Hydra Ventures,hydra-ventures-ico,1,10000000,,,,1Kx
Li.Fi,li-fi-ico,1,5500000,,,,1Kx
Highlight,highlight-ico,1,11000000,,,,1Kx
Strider,strider-ico,1,3000000,,,,1Kx
Snapshot,snapshot-ico,1,4000000,,,,1Kx
NFTfi,nftfi,1,5000000,,,NFT,1Kx
Forefront,forefront,1,2100000,,,DAO,1Kx
Siren,siren,1,4000000,,,DeFi,1Kx
Tally,tally,1,1500000,,,Governance,1Kx
Hummingbot,hummingbot,1,2600000,,,Software,1Kx
AllScale,allscale,1,5000000,,,Finance,Binance Labs
predict.fun,predict-fun,1,0,,,Predictions,Binance Labs
Funes,funes,1,0,,,Blockchain Service,Binance Labs
Standard Money,standard-money,1,8000000,,,DeFi,Binance Labs
Temple,temple-2,1,5000000,,,Finance,Binance Labs
Better Payment Network,better-payment-network,1,50000000,,,Finance,Binance Labs
Bitway,bitway,1,0,,,Blockchain,Binance Labs
StableStock,stablestock,1,0,,,DeFi,Binance Labs
Aspecta,aspecta,1,0,9540000.0,,Blockchain Service,Binance Labs
MEET48,meet48,1,0,30240000.0,,Gaming,Binance Labs
Opinion Labs,opinion-labs,1,5000000,,,Predictions,Binance Labs
Plume,plume-network,1,0,62940000.0,,Blockchain,Binance Labs
Tensorplex Labs,tensorplex-labs,1,0,,,DeFi,Binance Labs
THENA,thena,1,0,21870000.0,,DEX,Binance Labs
Perena,perena,1,0,,,DeFi,Binance Labs
Aster,aster,1,0,2040000000.0,,Perpetual,Binance Labs
Sophon,sophon,1,0,29920000.0,,Modular Blockchain,Binance Labs
OpenEden,openeden,1,0,12330000.0,,RWA (Real World Assets),Binance Labs
Sidekick,sidekick,1,0,,,Gaming,Binance Labs
VOOI,vooi,1,0,,,DEX,Binance Labs
Pentagon Games,pentagon-games,1,6000000,,,Gaming,Binance Labs
Particle Network,particle-network,1,0,24190000.0,,Modular Blockchain,Binance Labs
DILL,dill,1,0,2960000.0,,Infrastructure,Binance Labs
Cycle Network,cycle-network,1,0,1710000.0,,Infrastructure,Binance Labs
Catizen,catizen,1,0,18350000.0,,Gaming,Binance Labs
Pluto Studio,pluto-studio,1,0,,,Gaming,Binance Labs
Zircuit,zircuit,1,0,12830000.0,,Layer-2,Binance Labs
Rango Exchange,rango-exchange,1,0,,,DeFi,Binance Labs
Gamic,gamic,1,0,,,Social,Binance Labs
Zest Protocol,zest-protocol-2,1,3500000,,,DeFi,Binance Labs
Uxuy,uxuy-ico,1,7000000,,,,Binance Labs
Unisat,unisat,1,0,,,Blockchain Service,Binance Labs
BounceBit,bouncebit,1,0,68650000.0,,Blockchain,Binance Labs
QnA3 AI,qna3-ai,1,0,,,Web 3.0,Binance Labs
Cellula,cellula,1,0,,,Gaming,Binance Labs
Derivio,derivio,1,0,,,DeFi,Binance Labs
Renzo Protocol ,renzo-protocol,1,0,24260000.0,,Liquid Staking Protocols,Binance Labs
NFPrompt,nfprompt,1,0,13530000.0,,Artificial Intelligence (AI),Binance Labs
SkyArk Chronicles ,skyark-chronicles,1,15000000,,,Gaming,Binance Labs
Bracket Labs,bracket-labs,1,2000000,,,DeFi,Binance Labs
Memecoin,meme-coin,1,0,66000000.0,,Meme,Binance Labs
Sleek,sleek,1,5000000,,,Social,Binance Labs
Arkham,arkham,1,0,48150000.0,,Big Data,Binance Labs
Initia,initia,1,0,15840000.0,,Blockchain,Binance Labs
Pendle,pendle,1,0,374470000.0,,DeFi,Binance Labs
ZKWASM,delphinus-lab,1,0,,,Infrastructure,Binance Labs
Sleepless AI,sleepless-ai,1,0,18820000.0,,Gaming,Binance Labs
KiloEx,kiloex,1,0,2400000.0,,DEX,Binance Labs
Kinza Finance,kinza,1,0,,,DeFi,Binance Labs
zkPass,zkpass,1,2500000,,,Blockchain Service,Binance Labs
DIN,din,1,4000000,,,Artificial Intelligence (AI),Binance Labs
Kryptoskatt,kryptoskatt,1,0,,,DeFi,Binance Labs
Tabi,tabi,1,10000000,,,Modular Blockchain,Binance Labs
Playbux,playbux,1,2000000,,,Social,Binance Labs
Gomble,gomble-games,1,0,2570000.0,,Gaming,Binance Labs
Gameta,gameta,1,5000000,,,Play to Earn,Binance Labs
Swan Chain,swan-chain,1,3000000,,,DePIN,Binance Labs
TopGoal,topgoal,1,0,,,Gaming,Binance Labs
GoPlus,goplus,1,0,18440000.0,,Blockchain Service,Binance Labs
Ambit Finance,ambit-finance,1,4500000,,,,Binance Labs
Velvet,velvet,1,0,29380000.0,,DeFAI,Binance Labs
Bitquery,bitquery-2-ico,1,8500000,,,,Binance Labs
Salus Security,salus-security,1,0,,,Blockchain Service,Binance Labs
Lifeform,lifeform,1,0,3810000.0,,Blockchain Service,Binance Labs
Magic Square,magic-square,1,3900000,,,Web 3.0,Binance Labs
Planetarium Labs,planetarium-labs-ico,1,32000000,,,,Binance Labs
PancakeSwap,pancakeswap-token,1,0,763090000.0,,DEX,Binance Labs
APX,apollox-2,1,0,9140000.0,,CEX,Binance Labs
Tatsumeeko,tatsumeeko-ico,1,7500000,,,,Binance Labs
Zecrey Labs,zecrey-labs,1,6000000,,,Blockchain,Binance Labs
pSTAKE,pstake,1,0,2410000.0,,Liquid Staking Protocols,Binance Labs
grindery,grindery,1,280000,,,Wallet,Binance Labs
Nulink,nulink-2,1,0,,,Zero Knowledge,Binance Labs
Reveel,reveel,1,1300000,,,Blockchain Service,Binance Labs
Beam,beam,1,0,158440000.0,,Gaming,Binance Labs
Merit Circle,merit-circle,1,0,,,Gaming,Binance Labs
Tea,tea,1,8000000,,,Blockchain Service,Binance Labs
LiveArtX,live-art-x,1,4500000,,,NFT,Binance Labs
Symbiosis,symbiosis-finance,1,0,5360000.0,,Protocol,Binance Labs
Solv Protocol,solv-protocol,1,0,22640000.0,,DeFi,Binance Labs
Bird.Money,bird-money,1,239978,,,Oracle,Binance Labs
Cosmic Guild,cosmic-guild-ico,1,1500000,,,,Binance Labs
Melos Studio,melos-studio,1,0,,,Music,Binance Labs
Elfin Metaverse,elfin-metaverse,1,5250000,,,Gaming,Binance Labs
SecondLive,secondlive,1,0,,,Metaverse,Binance Labs
Mobox,mobox,1,0,16880000.0,,Gaming,Binance Labs
Avocado DAO,avaocado-dao,1,18000000,,,Gaming,Binance Labs
Wombat Exchange,wombat-exchange,1,0,,,PancakeSwap IDO,Binance Labs
Voxies,voxies,1,0,4990000.0,,Gaming,Binance Labs
Biswap,biswap,1,0,2230000.0,,DEX,Binance Labs
StarSharks,starsharks,1,0,,,Gaming,Binance Labs
OpenLeverage,openleverage,1,1800000,,,DeFi,Binance Labs
Copycat Finance,copycat-finance,1,0,,,,Binance Labs
Quad Terminal,quadency,1,100000,,,DeFi,Binance Labs
Seascape Crowns,crowns,1,272000,,,Gaming,Binance Labs
TROY,troy,1,8400000,,,Big Data,Binance Labs
PhishFort,phishfort,1,0,,,,Binance Labs
Trust Wallet Token,trust-wallet-token,1,0,424400000.0,,Wallet,Binance Labs
OneBalance,onebalance,1,5000000,,,Infrastructure,Cobie
Fortunafi,fortunafi,1,9560000,,,DeFi,Cobie
Size,size-ico,1,6000000,,,,Cobie
RockSolid Network,rocksolid-network,1,2800000,,,DeFi,Ideo Colab Ventures
Yup,yup,1,0,,,Social,Ideo Colab Ventures
Karma3 Labs,karma3-labs,1,4500000,,,Blockchain Service,Ideo Colab Ventures
Acctual,acctual,1,3850000,,,Web 3.0,Ideo Colab Ventures
Blocktorch,blocktorch,1,4200000,,,Blockchain Service,Ideo Colab Ventures
Unlockd,unlockd-ico,1,4400000,,,,Ideo Colab Ventures
Must,must,1,10000000,,,NFT,Ideo Colab Ventures
Thorstarter,thorstarter,1,1500000,,,Launchpad,Ideo Colab Ventures
Coinvise,coinvise-ico,1,2500000,,,,Ideo Colab Ventures
PoolTogether,pooltogether,1,1000000,,,DeFi,Ideo Colab Ventures
Accountable,accountable,1,7500000,,,Blockchain Service,Pantera Capital
Bee Maps,bee-maps,1,32000000,,,Blockchain Service,Pantera Capital
Helius Medical Technologies,helius-medical-technologies,1,500000000,,,Healthcare,Pantera Capital
Satsuma,satsuma,1,217600000,,,Blockchain Service,Pantera Capital
OpenMind,openmind-2,1,20000000,,,Infrastructure,Pantera Capital
Rialo (Subzero Labs),rialo,1,20000000,,,Infrastructure,Pantera Capital
The Open Platform (TOP),the-open-platform-top,1,28500000,,,Blockchain Service,Pantera Capital
BitMine,bitmine,1,250000000,,,Blockchain Service,Pantera Capital
Uptopia,uptopia,1,4000000,,,Gaming,Pantera Capital
Defx,defx,1,2500000,,,DEX,Pantera Capital
Revolving Games,revolving-games,1,0,,,Gaming,Pantera Capital
Altius,altius,1,11000000,,,Infrastructure,Pantera Capital
TaoFi,taofi,1,0,,,DeFi,Pantera Capital
Radius,radius,1,7000000,,,DeFi,Pantera Capital
GenomesDAO GENOME,genomesdao-genome,1,0,1120000.0,,Healthcare,Pantera Capital
Toncoin,ton,1,0,3940000000.0,,Blockchain,Pantera Capital
Thruster,thruster,1,7500000,,,DEX,Pantera Capital
Morph,morph,1,20000000,,,Blockchain,Pantera Capital
Helika,helika,1,8000000,,,Blockchain Service,Pantera Capital
EDX Markets,edx-markets,1,0,,,CEX,Pantera Capital
Brine Finance,brine-finance,1,16500000,,,DeFi,Pantera Capital
Gondi,gondi,1,5350000,,,NFT,Pantera Capital
Rarify Labs,rarify-labs-ico,1,10000000,,,,Pantera Capital
Worldwide Webb,worldwide-webb-ico,1,10000000,,,,Pantera Capital
Braavos,braavos-ico,1,10000000,,,,Pantera Capital
Pinata,pinata-ico,1,18000000,,,,Pantera Capital
Stacked,stacked-ico,1,12900000,,,,Pantera Capital
Unstoppable Domains,unstoppable-domains-ico,1,65000000,,,,Pantera Capital
Amberdata,amberdata-ico,1,30000000,,,,Pantera Capital
Rift Finance,rift-finance-ico,1,18000000,,,,Pantera Capital
Moonfrost,moonfrost-ico,1,4500000,,,,Pantera Capital
Polynomial Protocol,polynomial-protocol-ico,1,1100000,,,DeFi,Pantera Capital
Genopets,genopets,1,8300000,,,Play to Earn,Pantera Capital
Apollo,apollo-2,1,2250000,,,Yield Aggregator,Pantera Capital
Vauld,vauld-ico,1,25000000,,,,Pantera Capital
BitDAO,bitdao,1,230000000,,,DAO,Pantera Capital
Unbound Finance,unbound-finance,1,5800000,,,AMM,Pantera Capital
Lithium Finance,lithium-finance,1,1350000,,,DeFi,Pantera Capital
Bounce,auction,1,0,35130000.0,,DeFi,Pantera Capital
Globe Derivative Exchange,globe-derivative-exchange,1,6600000,,,Ignition IDO,Pantera Capital
BitGo,bitgo,1,0,,,Blockchain Service,Pantera Capital
