project_name,project_slug,fund_name,amount_usd,stage,date,category
Cozy Finance,cozy-finance-ico,Electric Capital,2000000,Seed Round,1599091200000,
DerivaDAO,derivadao,Electric Capital,2700000,Investment Round,1590969600000,DeFi
Auto Finance,tokemak,Electric Capital,4000000,Private Round,1587340800000,Yield Farming
Near,near,Electric Capital,375000,Private Round 2,1561939200000,Blockchain
MultiversX,multivers-x,Electric Capital,1900000,Private Sale,1558377960000,Blockchain
Spacemesh,spacemesh,Electric Capital,15000000,Series A,1536143400000,Blockchain
Oasis,oasis-network,Electric Capital,45000000,Backers,1526688000000,Blockchain
Obex,obex-2,Framework Ventures,37000000,Funding Round,1763424000000,Finance
Daylight,daylight-2,Framework Ventures,75000000,Funding Round,1760572800000,DePIN
Crown,crown-2,Framework Ventures,8100000,Seed Round,1760400000000,Finance
USD.AI,usd-ai,Framework Ventures,13400000,Series A,1755129600000,DeFi
Mecka.AI,mecka-ai,Framework Ventures,8000000,Seed Round,1754956800000,Infrastructure
Perle (Prev. Kiva Ai),kiva-ai,Framework Ventures,9000000,Seed Round,1754524800000,Artificial Intelligence (AI)
W3.io,w3-io,Framework Ventures,7000000,Seed Round,1752537600000,Infrastructure
T-Rex,t-rex,Framework Ventures,17000000,Funding Round,1746748800000,Modular Blockchain
Unto,unto,Framework Ventures,14400000,Funding Round,1745884800000,Blockchain
Meanwhile,meanwhile,Framework Ventures,40000000,Series A,1744243200000,Insurance
Uranium Digital,uranium-digital,Framework Ventures,6100000,Seed Round,1742428800000,DeFi
Infrared BGT,infrared,Framework Ventures,14000000,Series A,1741046400000,DeFi
Plasma,xpl,Framework Ventures,20500000,Funding Round,1739404800000,Blockchain
Henlo,henlo-2,Framework Ventures,3000000,Seed Round,1738713600000,Meme
GOAT Gaming,goat-gaming,Framework Ventures,4000000,Strategic Round,1738540800000,Gaming
Hyve DA,hyve-da,Framework Ventures,2750000,Pre-seed,1736985600000,Blockchain Service
Starpower,starpower,Framework Ventures,2500000,Funding Round,1736380800000,Blockchain Service
Avalon,avalon-finance,Framework Ventures,10000000,Series A,1734912000000,DeFi
Eidon AI,eidon-ai,Framework Ventures,3500000,Seed Round,1731369600000,Infrastructure
Glow,glow-2,Framework Ventures,30000000,Funding Round,1730332800000,Blockchain Service
Towns,towns,Framework Ventures,25500000,Series A,1728950400000,Social
Daylight,daylight,Framework Ventures,6000000,Seed Round,1727136000000,Blockchain Service
Infinex,infinex-app-crypto,Framework Ventures,65290000,NFT Sale,1726790400000,DEX
Ammalgam,ammalgam,Framework Ventures,2500000,Seed Round,1725926400000,DeFi
Moku,moku,Framework Ventures,5350000,Funding Round,1725840000000,Gaming
Space and Time,space-and-time,Framework Ventures,20000000,Series A,1724716800000,Blockchain Service
corn,corn-2,Framework Ventures,6700000,Seed Round,1724112000000,Layer-2
Parfin,parfin-ico,Framework Ventures,10000000,Series A,1723593600000,Layer-2
OpenSocial,opensocial,Framework Ventures,6000000,Strategic Round,1721865600000,Social
Mira,mira,Framework Ventures,9000000,Seed Round,1721088000000,Infrastructure
Sentient (Pre-Market),sentient,Framework Ventures,85000000,Seed Round,1719878400000,Blockchain Service
Irys,irys,Framework Ventures,3700000,Strategic Round,1718150400000,Infrastructure
Hylé,hyle,Framework Ventures,2600000,Funding Round,1715644800000,Blockchain
Berachain,berachain,Framework Ventures,100000000,Series B,1712880000000,Blockchain
Uplink,uplink,Framework Ventures,10000000,Funding Round,1712793600000,Infrastructure
Arrow Markets,arrow-markets,Framework Ventures,4000000,Series A,1711756800000,DeFi
Midas,midas-2,Framework Ventures,8750000,Seed Round,1711584000000,DeFi
Bitlayer,bitlayer,Framework Ventures,5000000,Seed Round,1711497600000,Layer-2
Reya Network (Voltz),reya-network,Framework Ventures,10000000,Funding Round,1711411200000,DeFi
Kravata,kravata,Framework Ventures,3600000,Seed Round,1709769600000,Infrastructure
Utila,utila,Framework Ventures,11500000,Seed Round,1709596800000,Infrastructure
Karak Network,karak-network,Framework Ventures,48000000,Series A,1709078400000,Layer-2
Allora,allora,Framework Ventures,,Funding Round,1706918400000,Blockchain Service
Hyve Labs,hyve-labs,Framework Ventures,2750000,Pre-seed,1705363200000,Gaming
Immutable,immutable-x,Framework Ventures,,Strategic Round,1703116800000,Layer-2
Babylon,babylon,Framework Ventures,18000000,Series A,1701907200000,Blockchain
Membrane Labs,membrane-labs,Framework Ventures,20000000,Series A,1696982400000,Blockchain Service
Socket,socket,Framework Ventures,5000000,Strategic Round,1693958400000,Infrastructure
Syrup,syrup,Framework Ventures,5000000,Funding Round,1692662400000,Lending Platform
Maple,maple,Framework Ventures,5000000,Funding Round,1692662400000,Lending Platform
Spearbit,spearbit,Framework Ventures,7000000,Funding Round,1691625600000,Social
Cantina,cantina,Framework Ventures,7000000,Funding Round,1691625600000,Web 3.0
Illuvium,illuvium,Framework Ventures,10000000,Funding Round,1685491200000,Gaming
Blockworks,blockworks,Framework Ventures,12000000,Funding Round,1683590400000,Media
Antimetal,antimetal,Framework Ventures,4300000,Seed Round,1683504000000,Blockchain Service
Jungle,jungle-ico,Framework Ventures,6000000,Seed Round,1678665600000,
Proven,proven-ico,Framework Ventures,15800000,Seed Round,1677628800000,
Asset Reality,asset-reality-ico,Framework Ventures,4910000,Seed Round,1672531200000,
Derive,derive,Framework Ventures,3000000,Strategic Round,1667260800000,Perpetual
OneKey,onekey-ico,Framework Ventures,20000000,Series A,1664323200000,
Smart Layer Network,smart-layer-network,Framework Ventures,6000000,Funding Round,1664236800000,Blockchain Service
Immunefi,immunefi,Framework Ventures,24000000,Series A Round,1663804800000,Blockchain Service
Jito,jito-network,Framework Ventures,12100000,Series A,1659312000000,Liquid Staking Protocols
GoGoPool,gogopool,Framework Ventures,5000000,Seed Round,1659312000000,DeFi
Mighty Action Heroes,mighty-action-heroes-ico,Framework Ventures,10000000,Funding Round,1656633600000,
Endaoment,endaoment-ico,Framework Ventures,6670000,Funding Round,1654041600000,
Godcoin,godcoin,Framework Ventures,9000000,Seed Round,1651708800000,Gaming
Chainflip,chainflip,Framework Ventures,10000000,Equity Round,1651363200000,AMM
Tally Labs,tally-labs-ico,Framework Ventures,12000000,Seed Round,1651363200000,
Certora,certora-ico,Framework Ventures,36000000,Series B Round,1651363200000,
Swell,swell-network,Framework Ventures,3750000,Seed Round,1647216000000,Liquid Staking Protocols
Upshot,upshot-ico,Framework Ventures,22000000,Series A-2,1646092800000,
Brahma,brahma,Framework Ventures,4210000,Seed Round,1645488000000,DeFi
Teller Finance,teller-finance-ico,Framework Ventures,6850000,Strategic Round,1643673600000,
Aethir,aethir,Framework Ventures,,Seed Round,1640995200000,DePIN
Perion,perion,Framework Ventures,8600000,Early Access Round,1640995200000,Gaming
Block Earner,block-earner-ico,Framework Ventures,6400000,Seed Round,1639008000000,
ParagonsDAO,paragonsdao,Framework Ventures,27072500,Private Round,1638316800000,DAO
Slingshot,slingshot-ico,Framework Ventures,15000000,Series A Round,1635724800000,
SZNS,szns-ico,Framework Ventures,4000000,Seed Round,1631145600000,
Futureswap,futureswap,Framework Ventures,12000000,Venture Round,1630454400000,Perpetual
Thales,thales,Framework Ventures,2500000,Strategic Round,1626134400000,Yield Aggregator
AlchemyNFT,alchemynft-ico,Framework Ventures,6000000,Seed Round,1625097600000,
Tracer DAO,tracer-dao,Framework Ventures,4500000,Strategic Round,1624924800000,Investment
Yield Protocol,yieldprotocol,Framework Ventures,10000000,Series A,1624406400000,Lending Platform
Rangers Protocol,rangers-protocol-gas,Framework Ventures,2500000,Private Equity Round,1623664800000,Protocol
SynFutures,synfutures,Framework Ventures,14000000,Series A Round,1622505600000,Perpetual
RabbitHole,rabbithole-ico,Framework Ventures,3600000,Seed Round,1622505600000,
Zapper,zapper-ico,Framework Ventures,15000000,Series A,1621209600000,
Commonwealth,commonwealth-ico,Framework Ventures,3200000,Seed Round,1619827200000,
Fei USD,fei-usd,Framework Ventures,19000000,Private Round,1615161600000,Stablecoin
Gro DAO Token,gro-dao-token,Framework Ventures,7100000,Seed,1609459200000,Yield Aggregator
Horizon Finance,horizon-finance,Framework Ventures,1335000,Seed Round,1602720000000,Yield Aggregator
DODO,dodo,Framework Ventures,5000000,Private Sale,1598918400000,DeFi
The Graph,the-graph,Framework Ventures,5000000,Strategic Round,1590969600000,Big Data
PowerTrade Fuel,powertrade-fuel,Framework Ventures,,Seed Sale,1590969600000,Derivatives
Auto Finance,tokemak,Framework Ventures,4000000,Private Round,1587340800000,Yield Farming
Synthetix,synthetix,Framework Ventures,3800000,Partnership Incentives,1569888000000,DeFi
Tellor Tributes,tellor,Framework Ventures,150000,Pre-seed,1527811200000,Oracle
Numeraire,numeraire,Union Square Ventures Usv,30000000,Series C,1763596800000,DeFi
The Clearing Company,the-clearing-company,Union Square Ventures Usv,15000000,Seed Round,1756252800000,DeFi
XMTP,xmtp,Union Square Ventures Usv,20000000,Series B,1752710400000,Social
Blackbird,blackbird,Union Square Ventures Usv,50000000,Series B,1744070400000,Social
Pluralis Research,pluralis-research,Union Square Ventures Usv,7600000,Seed Round,1742342400000,Blockchain Service
tapestry,tapestry,Union Square Ventures Usv,5750000,Series A,1736985600000,Social
WalletConnect Token,walletconnect,Union Square Ventures Usv,13000000,Series B,1736812800000,Wallet
Glow,glow-2,Union Square Ventures Usv,30000000,Funding Round,1730332800000,Blockchain Service
Daylight,daylight,Union Square Ventures Usv,6000000,Seed Round,1727136000000,Blockchain Service
Sling Money,sling-money,Union Square Ventures Usv,15000000,Series A,1723593600000,Finance
Neynar,neynar,Union Square Ventures Usv,11000000,Series A,1717027200000,Infrastructure
Farcaster,farcaster,Union Square Ventures Usv,150000000,Series A,1716249600000,Social
Kiosk,kiosk,Union Square Ventures Usv,10000000,Funding Round,1714608000000,Social
Paragraph,paragraph-ico,Union Square Ventures Usv,5000000,Funding Round,1714608000000,
fxhash,fxhash,Union Square Ventures Usv,5000000,Seed Round,1691452800000,NFT
Web3Auth,web3auth,Union Square Ventures Usv,13000000,Series A,1641945600000,Web 3.0
Ceramic,ceramic-ico,Union Square Ventures Usv,30000000,Series A Round,1640995200000,
Dune Analytics,dune-analytics,Union Square Ventures Usv,8000000,Series A Round,1625097600000,Blockchain Service
Flurry Finance,flurry,Union Square Ventures Usv,750000,Seed Round,1622505600000,
ZKsync,zksync,Union Square Ventures Usv,6000000,Series A,1612137600000,Layer-2
Uniswap,uniswap,Union Square Ventures Usv,11000000,Series A,1593561600000,DEX
Arweave,arweave,Union Square Ventures Usv,8300000,Private Round,1580515200000,Storage
Helium,helium,Union Square Ventures Usv,15000000,Series C,1560297600000,Social
Algorand,algorand,Union Square Ventures Usv,62000000,Venture Round,1538352000000,Blockchain
Internet Computer,internet-computer,Union Square Ventures Usv,61000000,Strategic Round,1512000000000,Blockchain
Filecoin,filecoin,Union Square Ventures Usv,52000000,Pre-Sale,1498867200000,Storage
Stacks,stacks,Union Square Ventures Usv,4000000,Series A,1483596000000,Blockchain
Crown,crown-2,Paradigm,13500000,Series A,1765152000000,Finance
Kalshi,kalshi,Paradigm,1000000000,Funding Round,1763683200000,Predictions
Rift,rift,Paradigm,8000000,Seed Round,1762560000000,DEX
Harmonic,harmonic,Paradigm,6000000,Seed Round,1762300800000,Infrastructure
Liquid,liquid,Paradigm,7600000,Seed Round,1762128000000,DEX
Standard Economics,standard-economics,Paradigm,9000000,Seed Round,1761609600000,Blockchain Service
MetaDAO,meta-2-2,Paradigm,5900000,OTC Deal,1761350400000,Solana Ecosystem
Divine,divine,Paradigm,6600000,Seed Round,1758758400000,DeFi
Plural,plural,Paradigm,7130000,Seed Round,1756944000000,Blockchain Service
Tempo,tempo,Paradigm,,Incubation,1756944000000,Blockchain
Etherealize,etherealize,Paradigm,40000000,Funding Round,1756857600000,Social
AUSD,agora-2,Paradigm,50000000,Series A,1752105600000,Stablecoin
Kuru,kuru,Paradigm,11600000,Series A,1751846400000,DeFi
GTE,gte,Paradigm,15000000,Series A,1750636800000,DEX
Wildcard,wildcard-ico,Paradigm,6500000,Funding Round,1750204800000,
3Jane,3jane,Paradigm,5200000,Seed Round,1748995200000,DeFi
Reddio,reddio,Paradigm,,Series A,1748649600000,Layer-2
Nous Research,nous-research,Paradigm,50000000,Series A,1745539200000,Artificial Intelligence (AI)
Consensus Value Creation,consensus-value-creation,Paradigm,20000000,Strategic Round,1745107200000,Blockchain Service
Privy,privy,Paradigm,15000000,Funding Round,1742342400000,Web 3.0
Mesh,mesh,Paradigm,82000000,Series B,1741651200000,Finance
Across Protocol,across-protocol,Paradigm,41000000,Private Token Sale,1741046400000,Protocol
Irreducible,irreducible,Paradigm,24000000,Series A,1738195200000,Infrastructure
D3,d3-2,Paradigm,25000000,Funding Round,1738108800000,Blockchain Service
Phantom,phantom,Paradigm,150000000,Series C,1736985600000,Wallet
Noble,noble,Paradigm,15000000,Series A,1731974400000,Blockchain Service
Ithaca,ithaca,Paradigm,20000000,Funding Round,1728604800000,Blockchain
Sorella,sorella,Paradigm,7500000,Seed Round,1724112000000,DeFi
Conduit,conduit-ico,Paradigm,37000000,Series A,1719273600000,
Symbiotic,symbiotic,Paradigm,5800000,Seed Round,1718064000000,Liquid Staking Protocols
Babylon,babylon,Paradigm,70000000,Funding Round,1717027200000,Blockchain
Farcaster,farcaster,Paradigm,150000000,Series A,1716249600000,Social
Monad,monad,Paradigm,225000000,Funding Round,1712620800000,Blockchain
Phoenix,phoenix-2,Paradigm,20000000,Series A,1712188800000,DEX
Succinct,succinct,Paradigm,55000000,Series A Round,1710979200000,Infrastructure
Axiom,axiom,Paradigm,20000000,Series A,1706140800000,Blockchain Service
Shadow,shadow,Paradigm,9000000,Seed Round,1701734400000,Blockchain Service
Blast,blast-l2,Paradigm,20000000,Funding Round,1700524800000,Layer-2
Friend.tech,friend-tech,Paradigm,,Seed Round,1692316800000,Social
Flashbots,flashbots,Paradigm,60000000,Series B,1690243200000,Blockchain Service
Code4rena,code4rena-ico,Paradigm,6000000,Funding Round,1678924800000,
vana,vana,Paradigm,18000000,Series A,1669852800000,Artificial Intelligence (AI)
Uniswap,uniswap,Paradigm,165000000,Series B,1665619200000,DEX
Blowfish,blowfish-2,Paradigm,11800000,Funding Round,1661990400000,Blockchain Service
SignalPlus,signalplus,Paradigm,,Series A,1660262400000,Finance
Limit Break,limit-break-ico,Paradigm,200000000,Funding Round,1659312000000,
Magic Eden,magic-eden,Paradigm,130000000,Series B Round,1654041600000,NFT
Utopia Labs,utopia-labs-ico,Paradigm,23000000,Series A,1653955200000,
Axie Infinity,axie-infinity,Paradigm,150000000,Funding Round,1648771200000,Gaming
Fractal,fractal-ico,Paradigm,35000000,Seed Round,1648771200000,Gaming
Ribbon Finance,ribbon-finance,Paradigm,8800000,Venture Round,1647907200000,DeFi
Praxis,praxis,Paradigm,15000000,Series A,1646265600000,Artificial Intelligence (AI)
Optimism,optimism,Paradigm,150000000,Series B Round,1646092800000,Layer-2
Blur,blur,Paradigm,11000000,Seed Round,1646092800000,NFT
Exotic Markets,exotic-markets,Paradigm,5000000,Venture Round,1641340800000,Oracle
FTX Token,ftx-token,Paradigm,400000000,Series C,1640995200000,CEX
ParagonsDAO,paragonsdao,Paradigm,27072500,Private Round,1638316800000,DAO
Aztec,aztec,Paradigm,17000000,Series A,1638316800000,Blockchain
MoonPay,moonpay,Paradigm,555000000,Series A,1637539200000,Finance
Osmosis,osmosis,Paradigm,21000000,Venture Round,1633046400000,DEX
Parallel,parallel,Paradigm,50000000,Seed Round,1633046400000,Gaming
StarkNet,starknet,Paradigm,50000000,Series C,1630454400000,Blockchain
X-Margin,x-margin-ico,Paradigm,8000000,Series A,1630454400000,
Euler,euler,Paradigm,8000000,Series A,1629849600000,Lending Platform
JET,jet,Paradigm,6800000,Follow-on Round,1627776000000,Lending Platform
Bitwave,bitwave-ico,Paradigm,7250000,Seed Round,1627776000000,
Yield Protocol,yieldprotocol,Paradigm,10000000,Series A,1624406400000,Lending Platform
dYdX,dydx,Paradigm,65000000,Series C,1623715200000,DEX
Lido DAO,lido-dao,Paradigm,51000000,Venture Round,1620172800000,DeFi
Bitso,bitso-ico,Paradigm,250000000,Series C,1620172800000,
Showtime,showtime-ico,Paradigm,7600000,Seed Round,1619827200000,
Chainalysis,chainalysis,Paradigm,100000000,Series D,1616716800000,Blockchain Service
Gitcoin,gitcoin,Paradigm,11300000,Funding Round,1614556800000,Infrastructure
Fireblocks,fireblocks-ico,Paradigm,133000000,Series C,1614556800000,
Opyn Squeeth,opyn-squeeth,Paradigm,6700000,Series A,1612310400000,DeFi
Synthetix,synthetix,Paradigm,12000000,Funding Round,1606780800000,DeFi
Mina Protocol,mina-protocol,Paradigm,6630000,Strategic Round (unlocked),1601510400000,Blockchain
Siacoin,siacoin,Paradigm,3000000,Seed Round,1600732800000,Storage
Rai Reflex Index,rai,Paradigm,1700000,Seed Round,1596585600000,Backed Tokens
Reflexer Ungovernance Token,reflexer-ungovernance-token,Paradigm,1700000,Seed Round,1596585600000,DeFi
Royale,royale,Paradigm,350000,Seed Round,1596240000000,
Amber Group,amber-group-ico,Paradigm,28000000,Series A Round,1580515200000,
Compound,compound,Paradigm,25000000,Series A,1576022400000,DeFi
Numeraire,numeraire,Paradigm,11000000,Series B,1553126400000,DeFi
Maker,maker,Paradigm,27500000,Seed Round 3,1548979200000,DeFi
Keep Network,keep-network,Paradigm,7700000,Venture Round,1543708800000,DeFi
Spacemesh,spacemesh,Paradigm,15000000,Series A,1536143400000,Blockchain
Cosmos Hub,cosmos,Paradigm,1329500,Strategic Round,1472688000000,Blockchain
noice,noice,Balaji Srinivasan,,Funding Round,1760400000000,Meme
Inversion Capital,inversion-capital,Balaji Srinivasan,26500000,Seed Round,1757289600000,Infrastructure
Trepa,trepa,Balaji Srinivasan,420000,Pre-seed,1755907200000,DeFi
ZAR,zar,Balaji Srinivasan,7000000,Funding Round,1745971200000,Finance
Octane,octane,Balaji Srinivasan,6750000,Seed Round,1744070400000,Blockchain Service
Pluralis Research,pluralis-research,Balaji Srinivasan,7600000,Seed Round,1742342400000,Blockchain Service
Prime Intellect,prime-intellect,Balaji Srinivasan,15000000,Funding Round,1740700800000,Blockchain Service
Fluent,fluent,Balaji Srinivasan,8000000,Funding Round,1739923200000,Layer-2
fomo,fomo-2,Balaji Srinivasan,2000000,Angel,1739836800000,DeFi
HOME,home,Balaji Srinivasan,2000000,Extended Seed Round,1739404800000,DeFi
Suilend,suilend,Balaji Srinivasan,4000000,Funding Round,1733356800000,Lending Platform
Citrea,citrea,Balaji Srinivasan,14000000,Series A,1730332800000,Infrastructure
Genius,genius-2,Balaji Srinivasan,6000000,Seed Round,1729641600000,DeFi
The Arena,the-arena,Balaji Srinivasan,2000000,Pre-seed,1729036800000,Social
OpenGradient,opengradient,Balaji Srinivasan,8500000,Seed Round,1728432000000,Infrastructure
MeshMap,meshmap,Balaji Srinivasan,4000000,Funding Round,1727395200000,Blockchain Service
Fermah,fermah,Balaji Srinivasan,5200000,Seed Round,1726531200000,Zero Knowledge
Level,level-2,Balaji Srinivasan,3600000,Funding Round,1724889600000,DeFi
Hyperbolic,hyperbolic,Balaji Srinivasan,7000000,Seed Round,1722297600000,Blockchain Service
Mira,mira,Balaji Srinivasan,9000000,Seed Round,1721088000000,Infrastructure
Prodia,prodia,Balaji Srinivasan,15000000,Seed Round,1719878400000,Blockchain Service
Agora,agora-3,Balaji Srinivasan,5000000,Seed Round,1714521600000,Blockchain Service
Ord.io,ord-io,Balaji Srinivasan,2000000,Seed Round,1713312000000,NFT
Sending Network,sending-network,Balaji Srinivasan,7500000,Extended Seed Round,1713225600000,Blockchain Service
Biconomy,biconomy,Balaji Srinivasan,,Strategic Round,1711584000000,DeFi
MyShell,myshell,Balaji Srinivasan,11000000,pre-Series A,1711497600000,Blockchain Service
Clique,clique,Balaji Srinivasan,8000000,Series A,1710374400000,Infrastructure
Utila,utila,Balaji Srinivasan,11500000,Seed Round,1709596800000,Infrastructure
Stack,stack-2,Balaji Srinivasan,3000000,Seed Round,1709510400000,Blockchain Service
Avail,avail,Balaji Srinivasan,27000000,Seed Round,1708905600000,Blockchain
Analog,analog,Balaji Srinivasan,16000000,Funding Round,1707782400000,Infrastructure
Dinari,dinari,Balaji Srinivasan,10000000,Seed Round,1705968000000,Finance
Ritual,ritual,Balaji Srinivasan,25000000,Series A,1699401600000,Infrastructure
Baseflow,baseflow,Balaji Srinivasan,2500000,Funding Round,1698364800000,Blockchain Service
Fileverse,fileverse,Balaji Srinivasan,1500000,Pre-seed,1697500800000,Blockchain Service
Ostium Labs,ostium-labs,Balaji Srinivasan,3500000,Funding Round,1696550400000,DeFi
Proof of Play,proof-of-play,Balaji Srinivasan,33000000,Seed Round,1695254400000,Gaming
Parallax,parallax-2,Balaji Srinivasan,4500000,Seed Round,1694476800000,Finance
0xPass,0xpass,Balaji Srinivasan,1800000,Pre-seed,1694390400000,Blockchain Service
Story,story,Balaji Srinivasan,25000000,Series A,1693958400000,Blockchain
Drip,drip,Balaji Srinivasan,3000000,Seed Round,1692403200000,NFT
Lore Explorer,lore-explorer,Balaji Srinivasan,2300000,Funding Round,1692144000000,Blockchain Service
MIDAO,midao,Balaji Srinivasan,1000000,Funding Round,1689811200000,Social
Roi,roi,Balaji Srinivasan,3600000,Funding Round,1689206400000,NFT
Lens Chain,lens-chain,Balaji Srinivasan,15000000,Funding Round,1686182400000,Blockchain Service
Argus,argus-2,Balaji Srinivasan,10000000,Seed Round,1686009600000,Gaming
LabDAO,labdao,Balaji Srinivasan,3600000,Funding Round,1684800000000,Social
PYOR,pyor,Balaji Srinivasan,4000000,Seed Round,1684368000000,Big Data
Huddle01,huddle01-ico,Balaji Srinivasan,4500000,Seed Round,1680739200000,
Intmax,intmax-ico,Balaji Srinivasan,5000000,Seed Round,1680307200000,Blockchain
Lore,lore-ico,Balaji Srinivasan,4000000,Strategic Round,1680307200000,
Proven,proven-ico,Balaji Srinivasan,15800000,Seed Round,1677628800000,
Renegade,renegade-ico,Balaji Srinivasan,3400000,Seed Round,1675209600000,
Chaos Labs,chaos-labs-ico,Balaji Srinivasan,20000000,Seed Round,1675209600000,
Sesame Labs,sesame-labs-ico,Balaji Srinivasan,4500000,Seed Round,1675209600000,
Prysm,prysm-ico,Balaji Srinivasan,4000000,Funding Round,1668427200000,
Shardeum,shardeum,Balaji Srinivasan,18719600,Seed Round,1666051200000,Infrastructure
Light Protocol,light-protocol,Balaji Srinivasan,4200000,Seed Round,1665964800000,Solana Ecosystem
Sovryn,sovryn,Balaji Srinivasan,5400000,Funding Round,1665273600000,DeFi
Integral1,integral-2,Balaji Srinivasan,8500000,Funding Round,1663632000000,Blockchain Service
Lysto,lysto-ico,Balaji Srinivasan,12000000,Pre-Series A Round,1659312000000,
Koop,koop-ico,Balaji Srinivasan,5000000,Seed Round,1659312000000,
Hashflow,hashflow,Balaji Srinivasan,25000000,Series A,1656633600000,DEX
Farcaster,farcaster,Balaji Srinivasan,30000000,Funding Round,1656633600000,Social
Crypto Colo Center,crypto-colo-center-ico,Balaji Srinivasan,11000000,Seed Round,1656633600000,
Quadrata,quadrata-ico,Balaji Srinivasan,7500000,Seed Round,1656633600000,
MoHash,mohash,Balaji Srinivasan,6000000,Seed Round,1656547200000,DeFi
AltLayer,altlayer,Balaji Srinivasan,7200000,Seed Round,1654041600000,Blockchain Service
Samudai,samudai-ico,Balaji Srinivasan,2500000,Pre-seed Round,1654041600000,
TRUF.Network,truflation,Balaji Srinivasan,,Seed Round,1652745600000,RWA (Real World Assets)
Doppel,doppel,Balaji Srinivasan,5000000,Seed Round,1651363200000,Blockchain Service
Questbook,questbook-ico,Balaji Srinivasan,8300000,Series A Round,1651363200000,
LiquiFi,liquifi,Balaji Srinivasan,5000000,Funding Round,1650499200000,Blockchain Service
Sign,sign-2,Balaji Srinivasan,12000000,Seed Round,1646784000000,Infrastructure
Rain,rain,Balaji Srinivasan,6000000,Seed Round,1645920000000,Finance
RSS3,rss3,Balaji Srinivasan,,Private Sale,1638316800000,Infrastructure
Galoy,galoy-ico,Balaji Srinivasan,3000000,Seed Round,1638316800000,
Praxis,praxis,Balaji Srinivasan,4200000,Seed Round,1638230400000,Artificial Intelligence (AI)
Solend,solend,Balaji Srinivasan,6500000,Seed,1635206400000,Lending Platform
Layer3,layer3,Balaji Srinivasan,2500000,Seed Round,1632960000000,Social
XMTP,xmtp,Balaji Srinivasan,20000000,Series A Round,1627776000000,Social
Superfluid,superfluid,Balaji Srinivasan,9000000,Seed Round,1626134400000,DeFi
Arcana Network,arcana-network,Balaji Srinivasan,375000,Seed Round,1625097600000,Web 3.0
Certora,certora-ico,Balaji Srinivasan,7200000,Series A,1621555200000,
Goldfinch,goldfinch,Balaji Srinivasan,11700000,Series A,1619827200000,Lending Platform
Commonwealth,commonwealth-ico,Balaji Srinivasan,3200000,Seed Round,1619827200000,
Iron Fish,iron-fish,Balaji Srinivasan,5300000,Funding Round,1617667200000,Blockchain Service
Aleo,aleo,Balaji Srinivasan,28000000,Series A,1617235200000,Zero Knowledge
Gitcoin,gitcoin,Balaji Srinivasan,11300000,Funding Round,1614556800000,Infrastructure
Rally,rally-2,Balaji Srinivasan,34828450,Community Treasury Fundraise,1609372800000,Yield Farming
Push Protocol,ethereum-push-notification-service,Balaji Srinivasan,750000,Seed Round,1606780800000,Infrastructure
Polymarket,polymarket,Balaji Srinivasan,4000000,Seed Round,1603065600000,DeFi
Opyn Squeeth,opyn-squeeth,Balaji Srinivasan,2160000,Seed Round,1592784000000,DeFi
Magic-link,magic-2,Balaji Srinivasan,4000000,Seed Round,1590710400000,Blockchain Service
Mask Network,mask-network,Balaji Srinivasan,570000,Private Round A,1575158400000,Social
Messari,messari-ico,Balaji Srinivasan,4000000,Venture Round,1573603200000,Elrond Ecosystem
Fluid,instadapp,Balaji Srinivasan,2400000,Seed Round,1569888000000,DeFi
Golden,golden-ico,Balaji Srinivasan,14500000,Series A Round,1567296000000,
Near,near,Balaji Srinivasan,375000,Private Round 2,1561939200000,Blockchain
Avalanche,avalanche,Balaji Srinivasan,5940000,Seed Round,1548979200000,Blockchain
TransCrypts,transcrypts,Mark Cuban,15000000,Seed Round,1759881600000,Blockchain Service
Blocto Token,blocto-token,Mark Cuban,,Series A,1677110400000,DeFi
Tokenproof,tokenproof-ico,Mark Cuban,5000000,Seed Round,1659312000000,
Swell,swell-network,Mark Cuban,3750000,Seed Round,1647216000000,Liquid Staking Protocols
Socket,socket,Mark Cuban,5000000,Seed Round,1646092800000,Infrastructure
CryptoSlam,cryptoslam,Mark Cuban,9000000,Seed Round,1641340800000,Blockchain Service
Thirdweb,thirdweb-ico,Mark Cuban,5000000,Seed Round,1638316800000,x402 Ecosystem
Arbitrum,arbitrum,Mark Cuban,100000000,Series B,1630368000000,Layer-2
Artificial Liquid Intelligence,alethea-artificial-liquid-intelligence-token,Mark Cuban,16000000,Private Round,1627776000000,NFT
Smart Layer Network,smart-layer-network,Mark Cuban,,Seed Round,1625097600000,Blockchain Service
AlchemyNFT,alchemynft-ico,Mark Cuban,6000000,Seed Round,1625097600000,
NFT Genius,nft-genius-ico,Mark Cuban,4000000,Seed Round,1622505600000,
Zapper,zapper-ico,Mark Cuban,15000000,Series A,1621209600000,
Axie Infinity,axie-infinity,Mark Cuban,7500000,Series A,1619827200000,Gaming
Ronin,ronin,Mark Cuban,7500000,Series A,1619827200000,Blockchain
Injective,injective-protocol,Mark Cuban,10000000,Funding Round,1617235200000,Blockchain
SuperRare,superrare,Mark Cuban,9000000,Series A Round,1614556800000,NFT
Limitless,limitless,1Confirmation,10000000,Seed Round,1760918400000,Predictions
Coop Records,coop-records,1Confirmation,4500000,Seed Round,1758585600000,Music
