project_name,project_slug,investor_count,total_invested_usd,category,investors
Privasea AI,privasea,1,5000000,Artificial Intelligence (AI),Binance Labs
Sleek,sleek,1,5000000,Social,Binance Labs
Curve DAO,curve-dao-token,1,5000000,DEX,Binance Labs
Gameta,gameta,1,5000000,Play to Earn,Binance Labs
Ultiverse,ultiverse,1,5000000,Gaming,Binance Labs
GMT,stepn,1,5000000,Move To Earn,Binance Labs
OneBalance,onebalance,1,5000000,Infrastructure,Cobie
Asset Reality,asset-reality-ico,1,4910000,,Framework Ventures
REN,republic-protocol,1,4825000,DeFi,Polychain Capital
Ref Finance,ref-finance,1,4800000,Near Ecosystem,Jump Crypto
OpenCover,opencover,1,4600000,DeFi,Jump Crypto
CreateSafe,createsafe,1,4600000,Music,Polychain Capital
GLIF,glif,1,4500000,DeFi,Multicoin Capital
Health Hero,health-hero-ico,1,4500000,,Lightspeed Venture Partners
Tracer DAO,tracer-dao,1,4500000,Investment,Framework Ventures
Parallax,parallax-2,1,4500000,Finance,Balaji Srinivasan
Huddle01,huddle01-ico,1,4500000,,Balaji Srinivasan
Sesame Labs,sesame-labs-ico,1,4500000,,Balaji Srinivasan
Ambit Finance,ambit-finance,1,4500000,,Binance Labs
LiveArtX,live-art-x,1,4500000,NFT,Binance Labs
Bella Protocol,bella-protocol,1,4500000,DeFi,Binance Labs
Karma3 Labs,karma3-labs,1,4500000,Blockchain Service,Ideo Colab Ventures
Moonfrost,moonfrost-ico,1,4500000,,Pantera Capital
Unlockd,unlockd-ico,1,4400000,,Ideo Colab Ventures
Play AI,play-ai,1,4300000,Infrastructure,Jump Crypto
Hourglass,hourglass-2,1,4200000,DeFi,Electric Capital
Stackup,stackup,1,4200000,Infrastructure,1Kx
Blocktorch,blocktorch,1,4200000,Blockchain Service,Ideo Colab Ventures
Blocksense Network,blocksense-network,1,4000000,Infrastructure,Andreessen Horowitz (a16z)
Narval,narval,1,4000000,Wallet,Andreessen Horowitz (a16z)
Loop Crypto,loop-crypto,1,4000000,Infrastructure,Andreessen Horowitz (a16z)
zkMe,zkme,1,4000000,Blockchain Service,Multicoin Capital
Squid,squidrouter,1,4000000,Blockchain Service,Polychain Capital
Tapio Protocol,tapio-protocol-ico,1,4000000,,Polychain Capital
GOAT Gaming,goat-gaming,1,4000000,Gaming,Framework Ventures
Arrow Markets,arrow-markets,1,4000000,DeFi,Framework Ventures
SZNS,szns-ico,1,4000000,,Framework Ventures
Stacks,stacks,1,4000000,Blockchain,Union Square Ventures Usv
Suilend,suilend,1,4000000,Lending Platform,Balaji Srinivasan
PYOR,pyor,1,4000000,Big Data,Balaji Srinivasan
Messari,messari-ico,1,4000000,Elrond Ecosystem,Balaji Srinivasan
NFT Genius,nft-genius-ico,1,4000000,,Mark Cuban
Ligero,ligero,1,4000000,Infrastructure,1Kx
Superstate,superstate,1,4000000,DeFi,1Kx
Snapshot,snapshot-ico,1,4000000,,1Kx
Siren,siren,1,4000000,DeFi,1Kx
Gata,aggregata,1,4000000,Artificial Intelligence (AI),Binance Labs
DIN,din,1,4000000,Artificial Intelligence (AI),Binance Labs
Uptopia,uptopia,1,4000000,Gaming,Pantera Capital
Ondo Finance,ondo-finance,1,4000000,RWA (Real World Assets),Pantera Capital
Stader,stader,1,4000000,Liquid Staking Protocols,Pantera Capital
Solar,swipe,1,3915000,Wallet,Binance Labs
Magic Square,magic-square,1,3900000,Web 3.0,Binance Labs
Acctual,acctual,1,3850000,Web 3.0,Ideo Colab Ventures
THORSwap,thorswap,1,3750000,DEX,Ideo Colab Ventures
Irys,irys,1,3700000,Infrastructure,Framework Ventures
Freatic,freatic,1,3600000,Blockchain Service,Andreessen Horowitz (a16z)
Kravata,kravata,1,3600000,Infrastructure,Framework Ventures
Roi,roi,1,3600000,NFT,Balaji Srinivasan
LabDAO,labdao,1,3600000,Social,Balaji Srinivasan
Arcium,arcium,1,3500000,,Jump Crypto
Wynd Network,wynd-2,1,3500000,Infrastructure,Polychain Capital
Yoz,yoz-ico,1,3500000,Web 3.0,Electric Capital
Eidon AI,eidon-ai,1,3500000,Infrastructure,Framework Ventures
Orange Cap Games,orange-cap-games,1,3500000,Gaming,1Kx
Zest Protocol,zest-protocol-2,1,3500000,DeFi,Binance Labs
Tranched,tranched,1,3400000,Lending Platform,Andreessen Horowitz (a16z)
Renegade,renegade-ico,1,3400000,,Balaji Srinivasan
Moonwalk Fitness,moonwalk-fitness,1,3400000,Sport,Binance Labs
Citadel,citadel-2,1,3300000,Gaming,1Kx
RISE Chain,rise-chain,1,3200000,Blockchain,Vitalik Buterin
Origin Protocol,origin-protocol,1,3000300,NFT,Pantera Capital
mbd,mbd,1,3000000,Social,Andreessen Horowitz (a16z)
Port3 Network,port3-network,1,3000000,DePIN,Jump Crypto
Fly,fly-2,1,3000000,DeFi,Jump Crypto
OpenBlox,openblox,1,3000000,NFT,Jump Crypto
Folks,folks-finance,1,3000000,Lending Platform,Jump Crypto
El Dorado,el-dorado,1,3000000,Blockchain Service,Multicoin Capital
Geode Finance,geode-finance-ico,1,3000000,,Multicoin Capital
UXD Protocol Token,uxd-protocol-token,1,3000000,Algorithmic Stablecoins,Multicoin Capital
Livepeer,livepeer,1,3000000,Infrastructure,Multicoin Capital
Superform,superform,1,3000000,DeFi,Polychain Capital
Staker DAO,staker-dao,1,3000000,DAO,Polychain Capital
InfiniFi,infinifi,1,3000000,DeFi,Electric Capital
Wasabi,wasabi,1,3000000,DeFi,Electric Capital
Cove Finance,cove-finance,1,3000000,Yield Aggregator,Electric Capital
INIT Capital,init-capital,1,3000000,DeFi,Electric Capital
Taker Protocol,taker-protocol,1,3000000,Blockchain,Electric Capital
Omnity Convertible Token,octopus-network,1,3000000,Near Ecosystem,Electric Capital
Henlo,henlo-2,1,3000000,Meme,Framework Ventures
Derive,derive,1,3000000,Perpetual,Framework Ventures
Siacoin,siacoin,1,3000000,Storage,Paradigm
Stack,stack-2,1,3000000,Blockchain Service,Balaji Srinivasan
Drip,drip,1,3000000,NFT,Balaji Srinivasan
Galoy,galoy-ico,1,3000000,,Balaji Srinivasan
Blockscout,blockscout,1,3000000,Blockchain Service,1Kx
JokeRace,jk-labs,1,3000000,Social,1Kx
FuzzLand,fuzzland,1,3000000,Blockchain Service,1Kx
NFTPerp,nftperp-ico,1,3000000,,1Kx
Strider,strider-ico,1,3000000,,1Kx
Swan Chain,swan-chain,1,3000000,DePIN,Binance Labs
Api3,api3,1,3000000,Oracle,Pantera Capital
Mevvy,mevvy,1,2800000,Blockchain Service,Multicoin Capital
CharacterX,characterx,1,2800000,Social,Lightspeed Venture Partners
RockSolid Network,rocksolid-network,1,2800000,DeFi,Ideo Colab Ventures
Hyve DA,hyve-da,1,2750000,Blockchain Service,Framework Ventures
Hyve Labs,hyve-labs,1,2750000,Gaming,Framework Ventures
Civic,civic,1,2750000,Software,Pantera Capital
Hylé,hyle,1,2600000,Blockchain,Framework Ventures
Hummingbot,hummingbot,1,2600000,Software,1Kx
Axal,axal,1,2500000,Blockchain Service,Andreessen Horowitz (a16z)
t1 Protocol,t1-protocol,1,2500000,Infrastructure,Andreessen Horowitz (a16z)
OutDID,outdid,1,2500000,Blockchain Service,Jump Crypto
Outdefine,outdefine-ico,1,2500000,,Jump Crypto
Starpower,starpower,1,2500000,Blockchain Service,Framework Ventures
Ammalgam,ammalgam,1,2500000,DeFi,Framework Ventures
Thales,thales,1,2500000,Yield Aggregator,Framework Ventures
Baseflow,baseflow,1,2500000,Blockchain Service,Balaji Srinivasan
Samudai,samudai-ico,1,2500000,,Balaji Srinivasan
Cambria,cambria,1,2500000,Gaming,1Kx
Seam Social,seam-social,1,2500000,Blockchain Service,1Kx
zkPass,zkpass,1,2500000,Blockchain Service,Binance Labs
Mind Network,mind-network,1,2500000,Blockchain Service,Binance Labs
Coinvise,coinvise-ico,1,2500000,,Ideo Colab Ventures
Defx,defx,1,2500000,DEX,Pantera Capital
Rarimo,rarimo,1,2500000,Layer-2,Vitalik Buterin
Kollider,kollider-ico,1,2400000,,Polychain Capital
FastLane Labs,fastlane-labs,1,2300000,Blockchain Service,Multicoin Capital
Canza Finance ,canza-finance,1,2300000,Blockchain Service,Polychain Capital
Lore Explorer,lore-explorer,1,2300000,Blockchain Service,Balaji Srinivasan
Apollo,apollo-2,1,2250000,Yield Aggregator,Pantera Capital
formless,formless,1,2200000,Social,Andreessen Horowitz (a16z)
Forefront,forefront,1,2100000,DAO,1Kx
Nexus Interactive,nexus-interactive,1,2000000,Gaming,Jump Crypto
Kolibrio,kolibrio-ico,1,2000000,,Jump Crypto
P2P.me,p2p-me,1,2000000,Blockchain Service,Multicoin Capital
saffron.finance,saffron-finance,1,2000000,DeFi,Multicoin Capital
Salad Ventures,salad-ventures,1,2000000,Gaming,Multicoin Capital
fomo,fomo-2,1,2000000,DeFi,Balaji Srinivasan
HOME,home,1,2000000,DeFi,Balaji Srinivasan
The Arena,the-arena,1,2000000,Social,Balaji Srinivasan
Ord.io,ord-io,1,2000000,NFT,Balaji Srinivasan
Gigaverse,gigaverse,1,2000000,Gaming,1Confirmation
Bracket Labs,bracket-labs,1,2000000,DeFi,Binance Labs
Playbux,playbux,1,2000000,Social,Binance Labs
Streamflow,streamflow,1,1900000,Blockchain Service,Jump Crypto
BuildBear,buildbear,1,1900000,Infrastructure,1Kx
0xPass,0xpass,1,1800000,Blockchain Service,Balaji Srinivasan
OpenLeverage,openleverage,1,1800000,DeFi,Binance Labs
RARI,rarible,1,1750000,NFT,1Kx
Ampleforth,ampleforth,1,1750000,Algorithmic Stablecoins,Pantera Capital
Botto,botto,1,1670000,NFT,1Kx
EthXY,ethxy,1,1600000,Gaming,Andreessen Horowitz (a16z)
Sonic Labs (prev. Fantom),sonic-labs,1,1600000,Blockchain,Jump Crypto
Fantom,fantom,1,1600000,Blockchain,Jump Crypto
dForce Token,dforce-token,1,1500000,DeFi,Multicoin Capital
Textile,textile-2,1,1500000,Blockchain Service,Multicoin Capital
Stream Finance,stream-finance,1,1500000,DeFi,Polychain Capital
Alpha5,alpha5,1,1500000,,Polychain Capital
Fileverse,fileverse,1,1500000,Blockchain Service,Balaji Srinivasan
Tally,tally,1,1500000,Governance,1Kx
Cosmic Guild,cosmic-guild-ico,1,1500000,,Binance Labs
Tranchess,tranchess,1,1500000,Liquid Staking Protocols,Binance Labs
Thorstarter,thorstarter,1,1500000,Launchpad,Ideo Colab Ventures
ROOK,rook,1,1440000,DeFi,Polychain Capital
VRRB,vrrb-ico,1,1400000,,Jump Crypto
Goldlink,goldlink,1,1400000,DeFi,Polychain Capital
Moola Market,moola-market,1,1400000,Lending Platform,Polychain Capital
Lithium Finance,lithium-finance,1,1350000,DeFi,Pantera Capital
Horizon Finance,horizon-finance,1,1335000,Yield Aggregator,Framework Ventures
Fluidity,fluidity-ico,1,1300000,,Multicoin Capital
Reveel,reveel,1,1300000,Blockchain Service,Binance Labs
Parsec,parsec,1,1250000,Big Data,Polychain Capital
Grape Protocol,grape-2,1,1200000,Application,Multicoin Capital
Spinamp,spinamp,1,1200000,Music,1Kx
Tibles,tibles-ico,1,1140000,,Multicoin Capital
Polynomial Protocol,polynomial-protocol-ico,1,1100000,DeFi,Pantera Capital
Skyfire,skyfire,1,1000000,Infrastructure,Andreessen Horowitz (a16z)
Pac Finance,pac-finance,1,1000000,DeFi,Polychain Capital
MIDAO,midao,1,1000000,Social,Balaji Srinivasan
aelf,aelf,1,1000000,Infrastructure,1Kx
HOPR,hopr,1,1000000,Privacy Coin,Binance Labs
PoolTogether,pooltogether,1,1000000,DeFi,Ideo Colab Ventures
Zcash,zcash,1,1000000,Privacy Coin,Pantera Capital
TenX,tenx,1,1000000,Finance,Vitalik Buterin
WazirX,wazirx,1,900000,CEX,Binance Labs
Qilin,qilin-ico,1,800000,,Multicoin Capital
Flurry Finance,flurry,1,750000,,Union Square Ventures Usv
Combinder,combinder,1,500000,Infrastructure,1Kx
Tokocrypto,tokocrypto,1,500000,CEX,Binance Labs
Trepa,trepa,1,420000,DeFi,Balaji Srinivasan
Arcana Network,arcana-network,1,375000,Web 3.0,Balaji Srinivasan
Royale,royale,1,350000,,Paradigm
grindery,grindery,1,280000,Wallet,Binance Labs
Seascape Crowns,crowns,1,272000,Gaming,Binance Labs
Bird.Money,bird-money,1,239978,Oracle,Binance Labs
Quad Terminal,quadency,1,100000,DeFi,Binance Labs
Cartesi,cartesi,1,100000,Oracle,Binance Labs
ApeX,apex-token-2,1,0,Perpetual,Jump Trading
Revolut,revolut,1,0,Finance,Andreessen Horowitz (a16z)
Cork Protocol,cork-protocol,1,0,DeFi,Andreessen Horowitz (a16z)
NodeKit,nodekit,1,0,Blockchain,Andreessen Horowitz (a16z)
Capsule Social,capsule-social-ico,1,0,,Andreessen Horowitz (a16z)
Voldex,voldex-ico,1,0,,Andreessen Horowitz (a16z)
Securitize,securitize,1,0,Finance,Jump Crypto
Nodepay,nodecoin-2,1,0,Artificial Intelligence (AI),Jump Crypto
LuminaDEX,luminadex,1,0,DeFi,Jump Crypto
Cetus Protocol,cetus-protocol,1,0,DEX,Jump Crypto
Timeswap,timeswap,1,0,DeFi,Multicoin Capital
Realy Metaverse,realy-metaverse,1,0,Metaverse,Multicoin Capital
Sofamon,sofamon,1,0,Social,Polychain Capital
Particle,particle,1,0,DeFi,Polychain Capital
Rio Network,rio-network,1,0,DeFi,Polychain Capital
Bioniq,bioniq,1,0,Blockchain Service,Polychain Capital
Abstract,abstract,1,0,Layer-2,Electric Capital
Frame,frame,1,0,Blockchain,Electric Capital
Immutable,immutable-x,1,0,Layer-2,Framework Ventures
Aethir,aethir,1,0,DePIN,Framework Ventures
Tempo,tempo,1,0,Blockchain,Paradigm
Reddio,reddio,1,0,Layer-2,Paradigm
Friend.tech,friend-tech,1,0,Social,Paradigm
SignalPlus,signalplus,1,0,Finance,Paradigm
noice,noice,1,0,Meme,Balaji Srinivasan
TRUF.Network,truflation,1,0,RWA (Real World Assets),Balaji Srinivasan
RSS3,rss3,1,0,Infrastructure,Balaji Srinivasan
Blocto Token,blocto-token,1,0,DeFi,Mark Cuban
Arx Research,arx-research,1,0,Infrastructure,1Kx
Kaia,kaia,1,0,Blockchain,1Kx
Dope World Paper,dope-wars-paper,1,0,DAO,1Kx
predict.fun,predict-fun,1,0,Predictions,Binance Labs
Funes,funes,1,0,Blockchain Service,Binance Labs
Bitway,bitway,1,0,Blockchain,Binance Labs
StableStock,stablestock,1,0,DeFi,Binance Labs
Aspecta,aspecta,1,0,Blockchain Service,Binance Labs
MEET48,meet48,1,0,Gaming,Binance Labs
Plume,plume-network,1,0,Blockchain,Binance Labs
Tensorplex Labs,tensorplex-labs,1,0,DeFi,Binance Labs
THENA,thena,1,0,DEX,Binance Labs
Perena,perena,1,0,DeFi,Binance Labs
Aster,aster,1,0,Perpetual,Binance Labs
Sophon,sophon,1,0,Modular Blockchain,Binance Labs
OpenEden,openeden,1,0,RWA (Real World Assets),Binance Labs
Sidekick,sidekick,1,0,Gaming,Binance Labs
VOOI,vooi,1,0,DEX,Binance Labs
Particle Network,particle-network,1,0,Modular Blockchain,Binance Labs
DILL,dill,1,0,Infrastructure,Binance Labs
Cycle Network,cycle-network,1,0,Infrastructure,Binance Labs
Catizen,catizen,1,0,Gaming,Binance Labs
Pluto Studio,pluto-studio,1,0,Gaming,Binance Labs
Zircuit,zircuit,1,0,Layer-2,Binance Labs
Rango Exchange,rango-exchange,1,0,DeFi,Binance Labs
Gamic,gamic,1,0,Social,Binance Labs
Unisat,unisat,1,0,Blockchain Service,Binance Labs
BounceBit,bouncebit,1,0,Blockchain,Binance Labs
QnA3 AI,qna3-ai,1,0,Web 3.0,Binance Labs
Cellula,cellula,1,0,Gaming,Binance Labs
Derivio,derivio,1,0,DeFi,Binance Labs
Renzo Protocol ,renzo-protocol,1,0,Liquid Staking Protocols,Binance Labs
NFPrompt,nfprompt,1,0,Artificial Intelligence (AI),Binance Labs
Memecoin,meme-coin,1,0,Meme,Binance Labs
Arkham,arkham,1,0,Big Data,Binance Labs
Initia,initia,1,0,Blockchain,Binance Labs
Pendle,pendle,1,0,DeFi,Binance Labs
ZKWASM,delphinus-lab,1,0,Infrastructure,Binance Labs
Sleepless AI,sleepless-ai,1,0,Gaming,Binance Labs
KiloEx,kiloex,1,0,DEX,Binance Labs
Kinza Finance,kinza,1,0,DeFi,Binance Labs
Kryptoskatt,kryptoskatt,1,0,DeFi,Binance Labs
Gomble,gomble-games,1,0,Gaming,Binance Labs
TopGoal,topgoal,1,0,Gaming,Binance Labs
GoPlus,goplus,1,0,Blockchain Service,Binance Labs
Velvet,velvet,1,0,DeFAI,Binance Labs
Salus Security,salus-security,1,0,Blockchain Service,Binance Labs
Lifeform,lifeform,1,0,Blockchain Service,Binance Labs
PancakeSwap,pancakeswap-token,1,0,DEX,Binance Labs
APX,apollox-2,1,0,CEX,Binance Labs
pSTAKE,pstake,1,0,Liquid Staking Protocols,Binance Labs
Nulink,nulink-2,1,0,Zero Knowledge,Binance Labs
Beam,beam,1,0,Gaming,Binance Labs
Merit Circle,merit-circle,1,0,Gaming,Binance Labs
Symbiosis,symbiosis-finance,1,0,Protocol,Binance Labs
Solv Protocol,solv-protocol,1,0,DeFi,Binance Labs
Melos Studio,melos-studio,1,0,Music,Binance Labs
SecondLive,secondlive,1,0,Metaverse,Binance Labs
Mobox,mobox,1,0,Gaming,Binance Labs
Wombat Exchange,wombat-exchange,1,0,PancakeSwap IDO,Binance Labs
Voxies,voxies,1,0,Gaming,Binance Labs
Biswap,biswap,1,0,DEX,Binance Labs
StarSharks,starsharks,1,0,Gaming,Binance Labs
Copycat Finance,copycat-finance,1,0,,Binance Labs
PhishFort,phishfort,1,0,,Binance Labs
Trust Wallet Token,trust-wallet-token,1,0,Wallet,Binance Labs
Yup,yup,1,0,Social,Ideo Colab Ventures
Revolving Games,revolving-games,1,0,Gaming,Pantera Capital
TaoFi,taofi,1,0,DeFi,Pantera Capital
GenomesDAO GENOME,genomesdao-genome,1,0,Healthcare,Pantera Capital
Toncoin,ton,1,0,Blockchain,Pantera Capital
EDX Markets,edx-markets,1,0,CEX,Pantera Capital
Bounce,auction,1,0,DeFi,Pantera Capital
BitGo,bitgo,1,0,Blockchain Service,Pantera Capital
Kakarot zkEVM ,kakarot-zkevm,1,0,Layer-2,Vitalik Buterin
